a,00
t,02
e,10
 ,21
u,012
d,110
l,111
r,120
h,122
s,201
i,202
n,220
o,222
.,0101
k,0102
v,0111
b,1121
p,1210
y,1211
",",1212
f,2000
g,2001
w,2002
c,2210
"
",2211
m,2212
S,01000
T,01002
A,01100
',01102
"""",01121
I,11200
;,11202
-,11222
M,010010
D,010011
F,010012
R,011010
j,011011
L,011012
?,011201
x,011202
O,011220
P,011221
C,011222
N,112010
q,112011
W,112012
E,112200
B,112201
H,112202
!,112211
U,0112000
Q,0112001
Y,0112002
z,1122102
G,1122122
0,11221002
V,11221010
K,11221011
1,11221200
:,11221202
(,11221210
),11221211
J,11221212
/,112210000
Z,112210001
6,112210002
9,112210011
4,112210012
3,112210120
7,112210121
5,112210122
8,112212010
*,112212011
2,112212012
X,1122100102
@,11221001000
[,11221001001
],11221001002
$,11221001011
_,11221001012
#,112210010100
%,112210010101
&,112210010102
